terrainID,position,direction,average_power,power_group
aa3t,3,6,34.78102,0
aa3t,3,5,66.33032,0
aa3t,2,3,69.01851,0
aa1k,4,6,53.49434,0
aa1k,4,8,53.13231,0
aa3t,1,3,55.31428,0
aa1k,4,9,13.61775,0
aa1l,1,3,65.39898,0
aa3s,4,9,10.39591,0
aa3s,4,8,46.41446,0
aa3s,4,6,43.62887,0
aa1l,3,6,65.20677,0
aa1l,4,10,8.540331,0
aa1l,4,11,38.04886,0
aa3s,4,27,18.86831,0
aa3s,4,26,11.67249,0
aa3s,4,25,50.91808,0
aa1k,4,10,23.46728,0
aa3t,4,23,59.64712,0
aa3t,4,24,34.86104,0
aa1k,2,3,61.02032,0
aa3u,4,24,34.69207,0
aa3u,4,23,57.07533,0
aa1j,4,23,67.79251,0
aa1j,4,24,32.27225,0
aa1j,4,26,29.77321,0
aa3u,4,12,40.70037,0
aa3u,4,11,10.99642,0
aa3u,4,10,50.26377,0
aa1j,4,27,7.674645,0
aa1j,4,28,39.63733,0
aa3u,3,6,64.62426,0
aa3u,4,27,31.82773,0
aa3u,1,3,60.74965,0
aa1j,4,7,38.37067,0
aa1j,4,9,49.41586,0
aa1k,0,5,62.48396,0
aa1k,0,6,30.21136,0
aa3t,4,9,13.71543,0
aa3t,4,8,63.24407,0
aa3t,4,6,40.89729,0
aa1k,1,3,58.87248,0
aa3t,4,28,25.25499,0
aa3t,4,27,9.540193,0
aa3t,4,26,45.43551,0
aa1j,4,6,66.48801,0
aa19,1,3,49.58271,0
aa45,3,6,60.73768,0
aa19,0,6,66.70149,0
aa4g,4,9,15.68293,0
aa4g,4,8,67.13031,0
aa0w,4,24,27.01429,0
aa4g,4,6,44.06551,0
aa0w,4,26,19.21027,0
aa0w,4,27,7.594091,0
aa0w,4,28,42.8995,0
aa4g,4,28,56.07745,0
aa4g,4,27,11.55205,0
aa4g,4,26,15.31697,0
aa4g,4,25,66.40414,0
aa4g,4,23,46.99927,0
aa0w,4,6,60.57536,0
aa0w,4,7,29.66523,0
aa0w,4,9,21.40614,0
aa0x,0,6,55.90183,0
aa4g,4,10,16.21189,0
aa0x,2,3,46.68713,0
aa4g,2,3,55.60794,0
aa0x,4,10,12.88748,0
aa4g,1,3,59.70047,0
aa0x,4,11,39.56768,0
aa4g,0,6,52.3339,0
aa0w,4,23,67.51378,0
aa4h,0,6,67.45433,0
aa0w,4,11,62.68518,0
aa0w,4,10,9.847221,0
aa4h,4,9,59.4907,0
aa4h,4,8,11.96031,0
aa4h,4,7,37.39782,0
aa4h,4,6,68.80113,0
aa0v,4,26,33.3193,0
aa0v,4,27,10.40014,0
aa0v,4,28,52.89107,0
aa4h,4,29,59.26056,0
aa4h,4,28,13.94451,0
aa4h,4,27,21.06185,0
aa4h,4,25,17.46143,0
aa0x,4,24,46.42269,0
aa4h,4,24,41.02442,0
aa0v,4,7,26.45591,0
aa0v,4,9,29.62572,0
aa4h,4,11,19.48924,0
aa4h,4,10,10.02698,0
aa0w,0,6,42.00037,0
aa4h,3,6,46.87143,0
aa0w,1,3,64.98883,0
aa4h,2,3,54.83401,0
aa0w,2,3,56.09267,0
aa4h,1,3,68.78654,0
aa0w,3,6,46.33017,0
aa0v,4,6,54.64588,0
aa0v,4,24,30.27042,0
aa4f,4,8,26.31657,0
aa0x,4,26,36.562,0
aa0y,4,28,50.37299,0
aa4e,4,28,58.07966,0
aa4e,4,27,11.22472,0
aa4e,4,26,11.98069,0
aa4e,4,25,57.82778,0
aa4e,4,23,47.81114,0
aa0y,4,6,57.85941,0
aa0y,4,7,26.84477,0
aa0y,4,9,19.2264,0
aa0z,0,6,66.81755,0
aa4e,4,11,59.94438,0
aa4e,4,10,11.58764,0
aa0z,1,3,54.37704,0
aa4e,2,3,52.41202,0
aa0z,2,3,64.35967,0
aa4e,1,3,63.9476,0
aa0z,3,5,68.77383,0
aa0z,3,6,47.86283,0
aa0z,4,10,25.15747,0
aa4e,0,6,52.27959,0
aa4d,4,9,61.88529,0
aa4d,4,8,12.90806,0
aa4d,4,7,39.91637,0
